text,label,notes
"Can we have an honest conversation about the legacy of Kanye West's music separate from the man himself?",discussion,
"I want to hear everyone's thoughts on the current state of indie rock. Is there a scene or is it just a streaming category now?",discussion,
"Discussing New Order's Technique — criminally underrated or correctly placed in the second tier?",discussion,
"Let's do a deep dive on Sade. Why does her catalog feel so timeless compared to her contemporaries?",discussion,
"I've been obsessed with Fiona Apple's Tidal lately. What do others think about where it fits in her discography?",discussion,
"Talk to me about Arthur Russell. I stumbled across World of Echo and have no frame of reference.",discussion,
"What does everyone think about the nu-metal revival? Sincere nostalgia or ironic detachment?",discussion,
"Let's discuss Marvin Gaye's What's Going On as a political album — does it still resonate the same way?",discussion,
"I want to open the floor on Mitski. Is she a generational songwriter or is the cult around her obscuring honest evaluation?",discussion,
"Talking about Smashing Pumpkins' Mellon Collie — does it hold up as a double album or would it be better as a single LP?",discussion,
"Share your hot takes on the current R&B landscape. Who is doing something genuinely new?",discussion,
"Let's talk about Joni Mitchell's Blue — every music writer calls it perfect, but what do people who came to it recently actually think?",discussion,
"I want to hear everyone's take on why jazz fell out of mainstream cultural relevance and whether that matters.",discussion,
"Can we discuss whether Beyoncé's Cowboy Carter is a country album or just an album that samples country?",discussion,
"Let's revisit LCD Soundsystem's Sound of Silver. Does it belong in the conversation with the all-time great albums?",discussion,
"What do people think about how TikTok has changed the way artists structure songs? Interested in all perspectives.",discussion,
"Talk to me about the Grateful Dead. I've always been curious but never knew where to start.",discussion,
"Opening the floor: which decade had the best hip-hop production and why?",discussion,
"Let's discuss whether the concept album is a dead format or just dormant.",discussion,
"I want to talk about Blur vs. Oasis beyond the obvious. What does each band's catalog actually represent?",discussion,
"What are everyone's thoughts on ambient music as a genre — is it listening music or background music and does the distinction matter?",discussion,
"Let's talk about Arca. Where do you even place her work in the broader music landscape?",discussion,
"Why is an artist's music often perceived as 'cheapened' by having a predominantly teenage female fanbase?",question,
"Why do people act like their opinion on music is a fact?",question,
"What makes a song 'timeless' — genuinely asking, not looking for a definitive answer.",question,"Ambiguous: has question mark and starts with 'what' but body says 'I want to hear how people think about it' which is a discussion opener. Labeled question because the framing is an inquiry, not an open floor invitation."
"Breaking down Charli XCX for someone who's never listened — where do I start?",question,
"Is there a reason why so many people have strong opinions about music they don't actually listen to?",question,
"How do you explain to someone why a song is good? Like mechanically, what are you pointing to?",question,
"What's the best album to start with for someone getting into jazz for the first time?",question,
"Why does music from your teenage years hit differently than music you discover as an adult?",question,
"What makes a live performance memorable versus just technically good?",question,
"Can someone explain the appeal of hyperpop to me? Genuinely trying to understand it.",question,
"Why do some genres age gracefully and others feel dated almost immediately?",question,
"What's the actual difference between art pop and pop? Is it just marketing?",question,
"Why does music criticism seem to always lag behind what audiences actually love?",question,
"How do you build a playlist that works as a cohesive listening experience rather than just a shuffle queue?",question,
"What are the best deep cuts in the Radiohead catalog for someone who only knows OK Computer and Kid A?",question,
"Why do so many people associate certain music with specific seasons? Is there a psychological explanation?",question,
"What's the earliest an artist has peaked in their career? Looking for examples across genres.",question,
"Can someone break down why 'difficult' albums like Metal Machine Music or Trout Mask Replica get taken seriously?",question,
"Why is the 'selling out' discourse still alive when the line between indie and major has basically dissolved?",question,
"How music was before the internet changed distribution — can someone walk me through what discovery actually looked like?",question,"Edge case from planning doc: no question mark but starts with 'how'. Labeled question per the heuristic in the plan."
"What are the best entry points into classical music for someone with no background in it?",question,
"Why does everyone seem to agree that Thriller is a masterpiece but nobody actually talks about it anymore?",question,
"Can someone help me understand the difference between post-punk and new wave? The overlap confuses me.",question,
"What's the most overused song in movie trailers and why does it always work anyway?",question,
"How do you know when an album is actually good versus when you've just listened to it too many times to hear it clearly?",question,
"Why do artists who pioneered a sound rarely get as much credit as the artists who popularized it?",question,
"Am I the only one who thinks Beyoncé's country era is her strongest work?",question,"Ambiguous: rhetorical question structure ('am I the only one') with a fully formed opinion in the body. Labeled question because the title poses a genuine inquiry about shared perspective, even if rhetorical."
"Why does every indie artist sound exactly the same now — VSCO aesthetics, bedroom pop vocals, the same four chords?",opinion,"Ambiguous: starts with 'why' which triggers question heuristic, but body is entirely first-person complaint with no genuine inquiry. Labeled opinion per edge case rule about rhetorical 'why' with no question mark."
"Never Mind the Bollocks, Here's the Sex Pistols — this album doesn't get talked about honestly because people are too busy mythologizing punk.",opinion,"Edge case from planning doc: could be opinion or discussion. No 'you statements' or 'what do you think' — user is stating a view, not opening a floor. Labeled opinion."
"Cowboy Carter is her best album. The songwriting is sharper, the production risks are bigger. I can't find anyone who agrees with me.",opinion,
"The cultural dominance of hip-hop has actually been bad for musical diversity. I know that's a controversial take.",opinion,
"Indie music has become a class signifier more than a genuine counterculture and the sooner people admit it the better.",opinion,
"The way we talk about 'authenticity' in music is almost entirely rooted in racism — we penalize Black artists for 'going pop' in ways we never penalize white artists.",opinion,
"Streaming playlists have done more damage to how people listen to music than any other single technological change.",opinion,
"Mumble rap is not a lower form of hip-hop — it's just a different formal choice and the condescension around it is generational cope.",opinion,
"Electronic music producers deserve more recognition as composers and less dismissal as 'just pushing buttons.'",opinion,
"The live music experience is genuinely irreplaceable and I worry that a generation of concert-going habits formed post-COVID is going to hollow it out.",opinion,
"Music blogs were actually better at breaking artists than algorithms are and nobody wants to admit it.",opinion,
"Concept albums are almost always worse than the artist's non-concept work because the concept gets in the way of the songs.",opinion,
"The 2010s were the worst decade for pop music production — everything sounds compressed, bright, and disposable.",opinion,
"Lorde's Melodrama is the best pop album of the last fifteen years. I will die on this hill.",opinion,
"The 'difficult listen' badge that gets applied to certain albums is just gatekeeping with extra steps.",opinion,
"Jazz fusion gets unfairly dismissed because of how the worst versions of it sound, not how the best versions sound.",opinion,
"People who claim vinyl sounds better than streaming are mostly experiencing the ritual, not the audio quality.",opinion,
"K-pop is a genuinely sophisticated pop form and Western critics who dismiss it are exposing their own biases.",opinion,
"The album as a format peaked in the late 90s and we've been in a long slow decline since.",opinion,
"Punk was always more about attitude than music and that's both its strength and its limitation.",opinion,
"Post-Malone is a better songwriter than his positioning as a genre-blender gives him credit for.",opinion,
"Let's talk about the evolution of music production software — how has DAW culture changed what music sounds like?",discussion,
"I want to hear thoughts on Sufjan Stevens across his whole career. Where does Javelin fit in the larger arc?",discussion,
"Can we talk about how music documentaries shape legacy? Are they revealing or are they canonizing?",discussion,
"Opening a conversation about Afrobeats' global expansion — is it appreciation or extraction when Western pop adopts it?",discussion,
"Let's discuss the legacy of grunge beyond Nirvana. Who from that era holds up?",discussion,
"I want to talk about the career of Missy Elliott and why she doesn't come up enough in 'best rapper' conversations.",discussion,
"Let's dig into Animal Collective's Merriweather Post Pavilion. Is it a landmark or a product of blog-era hype?",discussion,
"Can we have a genuine conversation about whether concept albums actually work?",discussion,
"Let's revisit the career of D'Angelo. How does he fit into the lineage of soul and R&B?",discussion,
"I want to discuss how classical music training shows up in popular music — who are the clearest examples?",discussion,
"Let's talk about the discography of Robyn. How did she avoid the usual pop career arc?",discussion,
"Discuss: which living artist do you think will have the most durable legacy fifty years from now?",discussion,
"Can we have an honest conversation about Eminem's legacy? The early work is canonical but what about everything after Recovery?",discussion,
"Let's talk about the relationship between mental illness and confessional songwriting — who handles it well, who exploits it?",discussion,
"Opening the floor on Japanese City Pop and whether Western re-discovery of it changed what it means.",discussion,
"Let's discuss whether there is such a thing as objectively bad music or whether it's all just preference.",discussion,
"Talk to me about Stevie Wonder's classic period. Where would you rank it against other great artist runs in history?",discussion,
"Can we discuss how genre labels have become increasingly useless as organizing frameworks for new music?",discussion,
"I want to hear everyone's take on whether AI-generated music is a creative tool or an existential threat to the industry.",discussion,
"Let's talk about the discography of Nick Cave — where is the best entry point and how does his work evolve?",discussion,
"Thoughts on Lil Wayne's peak era? Is he underrated in the GOAT conversation because he's hard to fit into a narrative?",discussion,
"Let's discuss how different the experience of music is when you listen on headphones versus speakers.",discussion,
"Can we talk about the role of music videos in shaping how we hear songs? Are they helpful or limiting?",discussion,
"Opening the floor on Fleetwood Mac's Tango in the Night — unfairly overshadowed by Rumours or is the gap in quality real?",discussion,
"Why do some artists have massive cult followings but never break mainstream despite obvious quality?",question,
"How do you decide whether to research an album's backstory before listening or just go in blind?",question,
"What's the single best album to represent each decade of popular music from the 50s to now?",question,
"Why do so many artists release their worst work when they have the most creative freedom and biggest budget?",question,
"What is the most influential album that most people have never actually listened to?",question,
"Why does music criticism almost always overrate albums on release and then quietly revise downward?",question,
"What's the most a single producer has shaped what an era of music sounds like?",question,
"How do you listen to albums you hate but are supposed to appreciate? Is there a method?",question,
"Why are music fans so much more likely to attack other fans' taste than film or book fans are?",question,
"What makes a chorus land? Trying to understand the mechanics, not just recognize when it works.",question,
"Why do so many great debut albums never get followed up on? Is there something structurally wrong with the music industry?",question,
"How would you introduce someone to experimental music without scaring them off?",question,
"What's the most genuinely surprising influence a mainstream artist has acknowledged?",question,
"Why does music tied to specific memories feel so much more powerful than music you discovered without an emotional context?",question,
"How do you tell the difference between an artist who is evolving and one who is just changing for the sake of it?",question,
"What's the most underrated decade for R&B?",question,
"Why does music from cultures you don't come from hit differently than music from your own background?",question,
"What's the actual legacy of MySpace in shaping the music industry? Serious question.",question,
"How do you get into a genre you've always had a mental block against?",question,
"Why does everyone agree that Illmatic is a masterpiece but the conversation about it is always the same five talking points?",question,
"What makes a music biopic work versus feeling like a hagiography?",question,
"Why do some artists age better in critical estimation while others who were loved in their time get forgotten?",question,
"How do you argue for the value of music to someone who genuinely doesn't care about it?",question,
"What's the most a music video has genuinely changed how you hear a song?",question,
"Why do so many musicians say their weakest albums are their personal favorites?",question,
"Post your most controversial music opinion and defend it.",opinion,"Ambiguous: 'post your' is a you-statement that could signal discussion, but the prompt is asking for opinions rather than opening a discussion topic. The expected response is a stated opinion. Labeled opinion."
"Hot take: the pop-punk revival of the early 2020s produced better music than the original era.",opinion,
"I've been thinking about this for years: the shuffle button is the single most destructive feature ever added to music listening.",opinion,
"The discourse around SZA's SOS not being a cohesive album misses the point — incoherence is the point.",opinion,
"Fiona Apple's Fetch the Bolt Cutters is not a great album. It's a great event and those are different things.",opinion,
"Vampire Weekend peaked on Contra and the critical consensus has gotten it backwards.",opinion,
"The music canon is basically just 'what white male critics in their 40s decided was important in 1998' and we're still stuck with it.",opinion,
"Every 'worst album' in a great artist's discography is still better than most artists' best albums and people forget that.",opinion,
"The best era for music production was the 80s purely because producers had to make strange decisions with strange tools.",opinion,
"Pitchfork made taste worse, not better, by aggregating it.",opinion,
"Ye's My Beautiful Dark Twisted Fantasy gets too much credit specifically because it came after 808s, which people forget is the better album.",opinion,
"Arena rock is unfairly maligned. Making music that sounds good to tens of thousands of people simultaneously is a skill.",opinion,
"The discourse around music 'selling out' is always really a discourse about class and access, not artistic integrity.",opinion,
"Let's talk about which producer has had the biggest impact on the sound of a specific decade.",discussion,
"I want to have a genuine conversation about whether nostalgia makes it impossible to evaluate music from your formative years fairly.",discussion,
"Opening the floor: are there artists who were critically dismissed in their prime who deserve full rehabilitation?",discussion,
"Let's discuss how different genres handle grief and loss — who does it best?",discussion,
"Can we talk about the gap between what music critics love and what audiences actually listen to? Is the gap growing?",discussion,
"Let's revisit Outkast's Speakerboxxx/The Love Below — is it better as a double album or should it be split?",discussion,
"Talking about how hip-hop sampling changed the law and whether those legal changes ultimately hurt or helped the art form.",discussion,
"Let's have a real conversation about whether music is better now than it was twenty years ago.",discussion,
"I want to discuss the experience of listening to music as a teenager vs. as an adult — does it actually change the music?",discussion,
"Opening the floor on what we talk about when we talk about a 'classic album.' Is it just age plus consensus?",discussion,
"Why does the 'sad girl' genre label get applied so broadly that it becomes meaningless?",question,
"What's the actual difference between an EP and an album beyond track count?",question,
"Why do so many people discover music they love through TV show soundtracks rather than dedicated music listening?",question,
"How do you know when you've actually absorbed an album versus just heard it enough times that it's familiar?",question,
"What makes a music scene versus just a collection of artists who happen to be from the same place?",question,
"Why is it so hard to write about music in a way that captures what it actually feels like?",question,
"What's the most a remix has genuinely improved on the original?",question,
"How do you keep listening to music from artists you've lost respect for as people?",question,
"Why do so many artists insist their most accessible album is their least personal?",question,
"What's the best album to listen to on a long solo drive and why?",question,
"How do you explain to someone why a B-side or deep cut matters when the singles are right there?",question,
"Why is it that some albums require a specific emotional state to appreciate and others work in any context?",question,
"What makes the difference between a producer and a beat-maker in terms of craft and contribution?",question,
"Why do reunion tours so rarely recapture what made the original run special?",question,
"How do you feel about artists releasing deluxe editions that add mediocre bonus tracks to albums that were already perfect?",question,"Ambiguous: starts with 'how do you feel' — question or discussion opener. The framing asks for personal opinion/feeling, not a factual answer. Labeled question per 'how others feel' criterion in the plan."
"The 70s was the greatest decade for albums as a format and no other decade comes close.",opinion,
"Rihanna's discography is more consistent than her critical reputation suggests — she rarely put out bad albums.",opinion,
"The discourse around music 'discovery' romanticizes a time when access was gatekept by geography and money.",opinion,
"Trap music is the most formally inventive thing to happen to hip-hop since the Bomb Squad.",opinion,
"The Velvet Underground are responsible for more bad music than any other band because so many artists took only their worst lessons.",opinion,
"What do people think about artists who refuse to release on streaming? Principled or just out of touch?",discussion,
"Let's talk about the career of LCD Soundsystem — how does 'American Dream' fit into the legacy after the 'retirement'?",discussion,
"Can we have an honest conversation about critical consensus and whether it tracks with what people actually love long-term?",discussion,
"Opening the floor on the greatest live albums ever recorded. What makes a live album actually capture the experience?",discussion,
"I want to talk about the 'difficult second album' phenomenon — who navigated it best and who fell apart?",discussion,
"Why did nu-metal get so critically dismissed and is there a case for taking it seriously now?",question,
"How do you approach listening to music with lyrics in a language you don't speak?",question,
"What's the most a music article or review has genuinely changed how you hear something?",question,
"Why does it feel like every band eventually makes 'the electronic album' and it rarely works?",question,
"Am I missing something with Boards of Canada? I keep trying and I can't get into them.",question,"Ambiguous: 'am I missing something' is a self-questioning opener that invites others to explain. Labeled question because the user is genuinely seeking information/perspective, not opening a discussion topic."
"How do you balance being open to new music with the genuine desire to go deep on what you already love?",question,
"What's the right ratio of familiar to unfamiliar tracks on a playlist meant to introduce someone to a genre?",question,
"Why does music made during creative desperation so often turn out better than music made in comfort?",question,
"What is the best double album in rock history and what makes the format work or not work for the artist?",question,
"How do you talk to someone about music you made when they don't respond to it the way you hoped?",question,
